HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
N2.HOG0014317	OG0007415	n0						SORBI_3003G336600			Zm00001eb149680_P002, Zm00001eb368970_P002
N2.HOG0014318	OG0007416	n0						SORBI_3001G499500			Zm00001eb004290_P002, Zm00001eb403210_P001
N2.HOG0014319	OG0007417	n0						SORBI_3001G464400, SORBI_3009G068100			
N2.HOG0014320	OG0007418	n13						SORBI_3001G268400			Zm00001eb026350_P004
N2.HOG0014321	OG0007418	n14						SORBI_3001G439600			Zm00001eb010400_P001, Zm00001eb398860_P003
N2.HOG0014322	OG0007419	n0						SORBI_3008G072700			Zm00001eb004510_P002, Zm00001eb411120_P003
N2.HOG0014323	OG0007421	n12						SORBI_3001G066900			
N2.HOG0014324	OG0007421	n13						SORBI_3005G014600			Zm00001eb093900_P001
N2.HOG0014325	OG0007422	n3									Zm00001eb127890_P002, Zm00001eb128460_P001
N2.HOG0014326	OG0007422	n5						SORBI_3003G118200			Zm00001eb333440_P001
N2.HOG0014327	OG0007423	n0						SORBI_3009G183500			Zm00001eb291660_P003
N2.HOG0014328	OG0007424	n0						SORBI_3009G190200			Zm00001eb066730_P001, Zm00001eb096840_P001, Zm00001eb128560_P001, Zm00001eb292250_P001, Zm00001eb352910_P001
N2.HOG0014329	OG0007425	n0						SORBI_3005G020600, SORBI_3008G019600			Zm00001eb405420_P001
N2.HOG0014330	OG0007426	n0						SORBI_3009G159200			Zm00001eb137070_P001, Zm00001eb226980_P001, Zm00001eb289450_P001, Zm00001eb412440_P001
N2.HOG0014331	OG0007427	n0						SORBI_3008G177100			Zm00001eb134480_P005
N2.HOG0014332	OG0007428	n0						SORBI_3002G304700			Zm00001eb105090_P002
N2.HOG0014333	OG0007429	n0						SORBI_3003G322800			Zm00001eb151040_P001, Zm00001eb369640_P001
N2.HOG0014334	OG0007430	n0						SORBI_3001G098500			Zm00001eb056450_P001
N2.HOG0014335	OG0007431	n0						SORBI_3009G213800			Zm00001eb294270_P001, Zm00001eb342330_P001
N2.HOG0014336	OG0007432	n0						SORBI_3010G077300			Zm00001eb032540_P001, Zm00001eb278700_P001, Zm00001eb373650_P001, Zm00001eb375880_P001
N2.HOG0014337	OG0007433	n0						SORBI_3010G239800			Zm00001eb273430_P002, Zm00001eb290030_P001, Zm00001eb305720_P001, Zm00001eb366000_P001
N2.HOG0014338	OG0007434	n3									Zm00001eb372580_P001
N2.HOG0014339	OG0007434	n4						SORBI_3009G244900, SORBI_3002G073700			Zm00001eb303010_P002
N2.HOG0014340	OG0007435	n0						SORBI_3009G007800			Zm00001eb267110_P001
N2.HOG0014341	OG0007436	n0						SORBI_3003G150200, SORBI_3004G012600			Zm00001eb130730_P001
N2.HOG0014342	OG0007437	n0						SORBI_3002G363600			Zm00001eb108420_P001, Zm00001eb326680_P002
N2.HOG0014343	OG0007438	n0						SORBI_3002G006401			Zm00001eb298410_P001
N2.HOG0014344	OG0007439	n0						SORBI_3001G507200			Zm00001eb003550_P001
N2.HOG0014345	OG0007440	n0						SORBI_3003G259100, SORBI_3006G102200			Zm00001eb156580_P001
N2.HOG0014346	OG0007441	n0						SORBI_3001G130000			Zm00001eb053680_P001
N2.HOG0014347	OG0007442	n0						SORBI_3010G074600, SORBI_3001G325500			Zm00001eb373920_P001
N2.HOG0014348	OG0007443	n2						SORBI_3008G101300			Zm00001eb138190_P001
N2.HOG0014349	OG0007443	n9						SORBI_3002G351100, SORBI_3005G188200			Zm00001eb325310_P001
N2.HOG0014350	OG0007444	n0						SORBI_3007G000500			Zm00001eb198700_P004
N2.HOG0014351	OG0007445	n0						SORBI_3001G000800			Zm00001eb065340_P001, Zm00001eb133680_P001, Zm00001eb312880_P002
N2.HOG0014352	OG0007446	n0						SORBI_3007G018400			Zm00001eb260890_P002, Zm00001eb260910_P001
N2.HOG0014353	OG0007447	n0						SORBI_3003G199500			Zm00001eb122080_P001, Zm00001eb160510_P003, Zm00001eb242980_P001, Zm00001eb304220_P001, Zm00001eb356980_P001, Zm00001eb362060_P001
N2.HOG0014354	OG0007448	n0						SORBI_3010G189900			Zm00001eb388430_P003
N2.HOG0014355	OG0007449	n0						SORBI_3010G103200, SORBI_3009G164800, SORBI_3008G074600, SORBI_3005G175700			Zm00001eb280220_P002
N2.HOG0014356	OG0007450	n0						SORBI_3002G363200			Zm00001eb326640_P001
N2.HOG0014357	OG0007451	n0						SORBI_3007G004100			Zm00001eb174460_P001
N2.HOG0014358	OG0007452	n0						SORBI_3002G117200			Zm00001eb203610_P001, Zm00001eb305940_P001, Zm00001eb371450_P001
N2.HOG0014359	OG0007453	n0						SORBI_3002G299800			Zm00001eb104870_P001, Zm00001eb320020_P001
N2.HOG0014360	OG0007454	n0						SORBI_3008G168600, SORBI_3008G028700			Zm00001eb406010_P005
N2.HOG0014361	OG0007455	n3						SORBI_3002G226700			Zm00001eb315000_P001
N2.HOG0014362	OG0007455	n14						SORBI_3007G156900			Zm00001eb038100_P001
N2.HOG0014363	OG0007456	n13						SORBI_3004G050200, SORBI_3009G043800			Zm00001eb159020_P001
N2.HOG0014364	OG0007456	n15						SORBI_3003G231000			Zm00001eb359030_P001
N2.HOG0014365	OG0007457	n0						SORBI_3003G388100			Zm00001eb128090_P001, Zm00001eb128100_P001, Zm00001eb144730_P003, Zm00001eb274660_P002
N2.HOG0014366	OG0007458	n0						SORBI_3001G393500			Zm00001eb395970_P001
N2.HOG0014367	OG0007459	n2						SORBI_3003G259700			
N2.HOG0014368	OG0007459	n3						SORBI_3009G225000			Zm00001eb295100_P001, Zm00001eb343110_P001
N2.HOG0014369	OG0007460	n0						SORBI_3006G093100			Zm00001eb081810_P001
N2.HOG0014370	OG0007461	n0						SORBI_3001G408500			Zm00001eb013240_P002, Zm00001eb397090_P002
N2.HOG0014371	OG0007462	n0						SORBI_3002G310200			Zm00001eb006290_P001, Zm00001eb312130_P001, Zm00001eb322080_P002, Zm00001eb322110_P001, Zm00001eb390340_P001
N2.HOG0014372	OG0007463	n0						SORBI_3001G531800			Zm00001eb001140_P004
N2.HOG0014373	OG0007464	n12						SORBI_3003G015200			Zm00001eb119760_P001
N2.HOG0014374	OG0007464	n14						SORBI_3009G080900			Zm00001eb350590_P003
N2.HOG0014375	OG0007465	n0						SORBI_3002G384400, SORBI_3003G191000			Zm00001eb356910_P003
N2.HOG0014376	OG0007466	n0						SORBI_3003G043800			Zm00001eb122330_P001
N2.HOG0014377	OG0007467	n0						SORBI_3007G217000			Zm00001eb034080_P003, Zm00001eb199560_P002
N2.HOG0014378	OG0007468	n2						SORBI_3008G098700			Zm00001eb408690_P001
N2.HOG0014379	OG0007468	n5						SORBI_3005G164800			Zm00001eb200460_P001
N2.HOG0014380	OG0007469	n0						SORBI_3002G182000			Zm00001eb311020_P001
N2.HOG0014381	OG0007470	n4						SORBI_3003G445700			Zm00001eb398140_P003
N2.HOG0014382	OG0007470	n5						SORBI_3003G009300			Zm00001eb362110_P001
N2.HOG0014383	OG0007471	n0						SORBI_3004G036300			Zm00001eb209220_P001
N2.HOG0014384	OG0007472	n0						SORBI_3001G032700			Zm00001eb062810_P001
N2.HOG0014385	OG0007473	n0						SORBI_3006G131200			Zm00001eb078830_P001
N2.HOG0014386	OG0007474	n0						SORBI_3004G337700			Zm00001eb258310_P001
N2.HOG0014387	OG0007475	n0						SORBI_3010G149200			Zm00001eb032160_P002
N2.HOG0014388	OG0007476	n2									Zm00001eb224250_P001
N2.HOG0014389	OG0007476	n4						SORBI_3001G436300			Zm00001eb010690_P001
N2.HOG0014390	OG0007477	n2									Zm00001eb116410_P001
N2.HOG0014391	OG0007477	n6						SORBI_3001G051300			Zm00001eb061300_P002
N2.HOG0014392	OG0007478	n0						SORBI_3001G044600			Zm00001eb212420_P001
N2.HOG0014393	OG0007479	n0						SORBI_3006G051900			Zm00001eb085410_P001, Zm00001eb421130_P001
N2.HOG0014394	OG0007480	n14						SORBI_3006G086000			Zm00001eb082430_P002
N2.HOG0014395	OG0007480	n15						SORBI_3004G176600			Zm00001eb243730_P001
N2.HOG0014396	OG0007481	n0						SORBI_3009G246950			Zm00001eb297160_P003, Zm00001eb323990_P004, Zm00001eb344790_P001, Zm00001eb365130_P005
N2.HOG0014397	OG0007482	n0						SORBI_3001G513800			Zm00001eb002820_P002, Zm00001eb170850_P001, Zm00001eb211570_P001, Zm00001eb242830_P001, Zm00001eb372000_P001
N2.HOG0014398	OG0007483	n0						SORBI_3001G109000			Zm00001eb215860_P002
N2.HOG0014399	OG0007484	n0									Zm00001eb255940_P001, Zm00001eb435310_P001, Zm00001eb435780_P001, Zm00001eb436860_P001, Zm00001eb437290_P001, Zm00001eb442720_P001
N2.HOG0014400	OG0007485	n5						SORBI_3003G169000			
N2.HOG0014401	OG0007485	n6						SORBI_3008G102200, SORBI_3008G102400, SORBI_3003G255266			
N2.HOG0014402	OG0007486	n0						SORBI_3001G288500			Zm00001eb024430_P001
N2.HOG0014403	OG0007487	n0						SORBI_3001G287900			Zm00001eb390390_P002
N2.HOG0014404	OG0007488	n0						SORBI_3007G041200			Zm00001eb172800_P001
N2.HOG0014405	OG0007489	n0						SORBI_3010G011800			Zm00001eb177750_P001
N2.HOG0014406	OG0007494	n2						SORBI_3003G087700			Zm00001eb335040_P001
N2.HOG0014407	OG0007494	n3						SORBI_3003G094600			Zm00001eb125880_P004, Zm00001eb334770_P002, Zm00001eb426600_P001
N2.HOG0014408	OG0007495	n0						SORBI_3003G072801			
N2.HOG0014409	OG0007496	n0						SORBI_3009G070400			Zm00001eb283490_P001
N2.HOG0014410	OG0007500	n2						SORBI_3005G130800			Zm00001eb170450_P001
N2.HOG0014411	OG0007500	n3						SORBI_3004G349500			Zm00001eb113200_P002
N2.HOG0014412	OG0007502	n0						SORBI_3009G030701			Zm00001eb417110_P001
N2.HOG0014413	OG0007503	n1						SORBI_3003G143200			Zm00001eb340400_P001
N2.HOG0014414	OG0007503	n3						SORBI_3009G031200			Zm00001eb354820_P004, Zm00001eb417140_P003
N2.HOG0014415	OG0007504	n0						SORBI_3009G038200			Zm00001eb417760_P001
N2.HOG0014416	OG0007506	n0						SORBI_3001G494100			
N2.HOG0014417	OG0007507	n0						SORBI_3001G186700			Zm00001eb048830_P002, Zm00001eb157330_P001, Zm00001eb179630_P001, Zm00001eb220960_P001, Zm00001eb374030_P001, Zm00001eb394730_P001
N2.HOG0014418	OG0007508	n0						SORBI_3002G307600			Zm00001eb321830_P001
N2.HOG0014419	OG0007509	n0						SORBI_3002G080100			Zm00001eb095110_P001, Zm00001eb303620_P001
N2.HOG0014420	OG0007510	n0						SORBI_3004G131300			Zm00001eb237040_P001
N2.HOG0014421	OG0007511	n2						SORBI_3004G138000			Zm00001eb180570_P001
N2.HOG0014422	OG0007511	n3						SORBI_3006G040800			Zm00001eb022190_P001, Zm00001eb206180_P001, Zm00001eb420230_P001
N2.HOG0014423	OG0007513	n0						SORBI_3006G090800			Zm00001eb082100_P001, Zm00001eb096640_P001, Zm00001eb114980_P001, Zm00001eb293030_P005, Zm00001eb372590_P001
N2.HOG0014424	OG0007514	n2						SORBI_3006G134700			Zm00001eb425730_P001
N2.HOG0014425	OG0007514	n3						SORBI_3K044400, SORBI_3006G282300			Zm00001eb076600_P001, Zm00001eb434590_P001
N2.HOG0014426	OG0007515	n0						SORBI_3006G159700, SORBI_3006G159500			
N2.HOG0014427	OG0007516	n0						SORBI_3006G168500			
N2.HOG0014428	OG0007517	n0						SORBI_3002G224300			
N2.HOG0014429	OG0007520	n0						SORBI_3006G231900			Zm00001eb069260_P001, Zm00001eb081180_P001, Zm00001eb274720_P001
N2.HOG0014430	OG0007522	n0						SORBI_3003G056100			Zm00001eb123340_P002, Zm00001eb123350_P002, Zm00001eb316400_P001
N2.HOG0014431	OG0007524	n0						SORBI_3001G150901, SORBI_3010G268800			Zm00001eb228240_P001, Zm00001eb228250_P002
N2.HOG0014432	OG0007525	n0						SORBI_3010G269500			Zm00001eb272160_P001
N2.HOG0014433	OG0007526	n0						SORBI_3002G388700			Zm00001eb328600_P001
N2.HOG0014434	OG0007527	n0						SORBI_3002G387900			Zm00001eb110060_P001, Zm00001eb328510_P001
N2.HOG0014435	OG0007534	n0						SORBI_3003G033000			Zm00001eb121110_P003, Zm00001eb337350_P002
N2.HOG0014436	OG0007535	n1						SORBI_3008G116800			Zm00001eb410570_P001
N2.HOG0014437	OG0007535	n8						SORBI_3008G064250			
N2.HOG0014438	OG0007536	n0						SORBI_3003G301500			Zm00001eb370610_P001
N2.HOG0014439	OG0007537	n0						SORBI_3003G321800			
N2.HOG0014440	OG0007538	n1									Zm00001eb033290_P002, Zm00001eb033330_P001
N2.HOG0014441	OG0007538	n8						SORBI_3001G186600			
N2.HOG0014442	OG0007538	n9						SORBI_3002G289000			
N2.HOG0014443	OG0007538	n14						SORBI_3010G109000, SORBI_3003G369033			
N2.HOG0014444	OG0007539	n0						SORBI_3005G203600, SORBI_3005G203700, SORBI_3005G203750			Zm00001eb115210_P001
N2.HOG0014445	OG0007540	n0						SORBI_3001G141800			Zm00001eb217620_P001
N2.HOG0014446	OG0007541	n1									Zm00001eb020410_P003, Zm00001eb183640_P001, Zm00001eb239820_P001, Zm00001eb278330_P001
N2.HOG0014447	OG0007541	n5						SORBI_3001G332400			
N2.HOG0014448	OG0007541	n15						SORBI_3008G068700			
N2.HOG0014449	OG0007542	n0						SORBI_3006G075900, SORBI_3001G170301			Zm00001eb050150_P001, Zm00001eb050160_P001, Zm00001eb050170_P001, Zm00001eb050180_P001, Zm00001eb050200_P001, Zm00001eb051810_P001
N2.HOG0014450	OG0007544	n0						SORBI_3001G338000, SORBI_3002G171600			Zm00001eb309910_P001
N2.HOG0014451	OG0007545	n0						SORBI_3003G154700			Zm00001eb131200_P001
N2.HOG0014452	OG0007546	n0						SORBI_3001G071300			Zm00001eb213720_P001, Zm00001eb250170_P001, Zm00001eb299440_P001, Zm00001eb334010_P001, Zm00001eb366630_P001, Zm00001eb430060_P001
N2.HOG0014453	OG0007548	n0						SORBI_3001G017800			Zm00001eb064020_P001, Zm00001eb086740_P001, Zm00001eb090720_P001, Zm00001eb310080_P001
N2.HOG0014454	OG0007549	n1						SORBI_3003G438600			Zm00001eb140230_P001
N2.HOG0014455	OG0007549	n3						SORBI_3009G258000			
N2.HOG0014456	OG0007550	n0						SORBI_3001G530500			Zm00001eb001270_P003, Zm00001eb062980_P001, Zm00001eb188500_P001, Zm00001eb273320_P002, Zm00001eb308810_P001, Zm00001eb354300_P001, Zm00001eb403930_P004
N2.HOG0014457	OG0007551	n0						SORBI_3003G414100			Zm00001eb363620_P002
N2.HOG0014458	OG0007552	n0						SORBI_3005G064900			Zm00001eb140520_P001
N2.HOG0014459	OG0007553	n0						SORBI_3005G227000			Zm00001eb269230_P001
N2.HOG0014460	OG0007554	n0						SORBI_3005G197900			Zm00001eb166170_P001
N2.HOG0014461	OG0007557	n0						SORBI_3003G064000, SORBI_3003G064100			
N2.HOG0014462	OG0007560	n0						SORBI_3007G006600			Zm00001eb042840_P001, Zm00001eb259530_P001, Zm00001eb260060_P001, Zm00001eb268630_P001, Zm00001eb324370_P001
N2.HOG0014463	OG0007562	n0						SORBI_3005G115200			
N2.HOG0014464	OG0007563	n0						SORBI_3001G341300			Zm00001eb019650_P001
N2.HOG0014465	OG0007564	n0						SORBI_3001G374400			Zm00001eb016620_P004, Zm00001eb394840_P001
N2.HOG0014466	OG0007565	n0						SORBI_3009G064400			Zm00001eb408580_P001
N2.HOG0014467	OG0007566	n0						SORBI_3001G414100			Zm00001eb082530_P001, Zm00001eb109160_P001, Zm00001eb221210_P001, Zm00001eb358820_P001, Zm00001eb397330_P005, Zm00001eb411770_P001
N2.HOG0014468	OG0007567	n2						SORBI_3008G165266			Zm00001eb135940_P002, Zm00001eb154780_P003
N2.HOG0014469	OG0007567	n4						SORBI_3008G165300, SORBI_3008G165800, SORBI_3008G165600			Zm00001eb031590_P004
N2.HOG0014470	OG0007568	n2						SORBI_3004G020900			Zm00001eb208510_P005
N2.HOG0014471	OG0007568	n3						SORBI_3008G161100, SORBI_3008G161201, SORBI_3008G161300, SORBI_3008G161401, SORBI_3008G161500			Zm00001eb031350_P001
N2.HOG0014472	OG0007569	n0						SORBI_3003G441400, SORBI_3008G154801			Zm00001eb017410_P001, Zm00001eb135460_P001, Zm00001eb379520_P001
N2.HOG0014473	OG0007570	n0						SORBI_3008G139500			Zm00001eb029450_P001, Zm00001eb136330_P001
N2.HOG0014474	OG0007571	n0						SORBI_3008G046800			Zm00001eb139460_P002, Zm00001eb407550_P001
N2.HOG0014475	OG0007572	n0						SORBI_3005G014200			Zm00001eb093930_P001
N2.HOG0014476	OG0007573	n1						SORBI_3007G109900			Zm00001eb028160_P001
N2.HOG0014477	OG0007573	n3						SORBI_3002G162800			Zm00001eb097930_P001, Zm00001eb309420_P001
N2.HOG0014478	OG0007574	n0									Zm00001eb331100_P001
N2.HOG0014479	OG0007575	n0						SORBI_3007G227500			Zm00001eb033460_P001
N2.HOG0014480	OG0007576	n1						SORBI_3007G152300			Zm00001eb037670_P002
N2.HOG0014481	OG0007576	n5						SORBI_3002G220300			Zm00001eb019110_P001, Zm00001eb100690_P001, Zm00001eb221720_P001, Zm00001eb314500_P001
N2.HOG0014482	OG0007580	n2						SORBI_3004G263300			Zm00001eb252430_P001
N2.HOG0014483	OG0007580	n3						SORBI_3004G104250, SORBI_3004G104600, SORBI_3004G104000, SORBI_3004G104500			Zm00001eb188760_P001
N2.HOG0014484	OG0007581	n0						SORBI_3004G275900			Zm00001eb240140_P001, Zm00001eb251160_P001, Zm00001eb306090_P001, Zm00001eb372440_P001, Zm00001eb372450_P001
N2.HOG0014485	OG0007582	n0						SORBI_3004G168700			Zm00001eb243040_P001
N2.HOG0014486	OG0007583	n6						SORBI_3005G121700, SORBI_3005G121800			Zm00001eb112970_P001
N2.HOG0014487	OG0007583	n9						SORBI_3005G122100, SORBI_3005G122300			Zm00001eb170050_P001, Zm00001eb266630_P001
N2.HOG0014488	OG0007584	n0						SORBI_3004G342100			Zm00001eb258710_P001
N2.HOG0014489	OG0007585	n0						SORBI_3007G137400			Zm00001eb041410_P002, Zm00001eb179710_P001
N2.HOG0014490	OG0007586	n2						SORBI_3007G068500			Zm00001eb171410_P001
N2.HOG0014491	OG0007586	n3						SORBI_3007G068300, SORBI_3007G068700			Zm00001eb413300_P001
N2.HOG0014492	OG0007587	n0						SORBI_3005G119800, SORBI_3003G261733			
N2.HOG0014493	OG0007588	n0						SORBI_3003G237600			
N2.HOG0014494	OG0007589	n1						SORBI_3006G210100			
N2.HOG0014495	OG0007589	n3						SORBI_3006G210200, SORBI_3007G077700			
N2.HOG0014496	OG0007591	n1						SORBI_3005G214150			Zm00001eb074400_P001
N2.HOG0014497	OG0007591	n7						SORBI_3001G440401			
N2.HOG0014498	OG0007593	n1						SORBI_3002G041666			Zm00001eb300580_P001
N2.HOG0014499	OG0007593	n6									Zm00001eb038150_P001, Zm00001eb315110_P001, Zm00001eb315160_P001, Zm00001eb315210_P001
N2.HOG0014500	OG0007593	n10									Zm00001eb287810_P001, Zm00001eb329170_P001
N2.HOG0014501	OG0007595	n2						SORBI_3006G035700			Zm00001eb086410_P001
N2.HOG0014502	OG0007595	n4						SORBI_3006G064500, SORBI_3006G064700			Zm00001eb084440_P001
N2.HOG0014503	OG0007596	n1						SORBI_3005G102600			Zm00001eb121740_P001
N2.HOG0014504	OG0007596	n3						SORBI_3004G139800, SORBI_3005G153700, SORBI_3002G076300, SORBI_3008G069901, SORBI_3007G116150, SORBI_3006G035950, SORBI_3005G158901, SORBI_3003G351501, SORBI_3002G430601			
N2.HOG0014505	OG0007598	n0									Zm00001eb012640_P001, Zm00001eb020920_P001, Zm00001eb020930_P001, Zm00001eb027090_P001, Zm00001eb037750_P001, Zm00001eb051280_P001, Zm00001eb094070_P001, Zm00001eb115430_P001, Zm00001eb169700_P001, Zm00001eb180000_P001, Zm00001eb203010_P001, Zm00001eb272220_P001, Zm00001eb333850_P001, Zm00001eb337770_P001, Zm00001eb351530_P001, Zm00001eb381940_P001, Zm00001eb394320_P001
N2.HOG0014506	OG0007600	n0						SORBI_3001G163800			Zm00001eb051290_P001, Zm00001eb218930_P001
N2.HOG0014507	OG0007602	n0						SORBI_3001G177000			Zm00001eb049630_P001, Zm00001eb049640_P001
N2.HOG0014508	OG0007603	n0						SORBI_3005G087300			Zm00001eb168070_P001
N2.HOG0014509	OG0007604	n0						SORBI_3002G362900			Zm00001eb108400_P003, Zm00001eb326620_P001
N2.HOG0014510	OG0007605	n0						SORBI_3008G141300			Zm00001eb029660_P001, Zm00001eb136220_P002
N2.HOG0014511	OG0007606	n0						SORBI_3002G029700			Zm00001eb299740_P001
N2.HOG0014512	OG0007607	n0						SORBI_3002G273300			Zm00001eb103370_P001, Zm00001eb319460_P001
N2.HOG0014513	OG0007608	n0						SORBI_3004G348300			Zm00001eb191230_P002, Zm00001eb259130_P001
N2.HOG0014514	OG0007609	n12						SORBI_3002G188500			Zm00001eb098910_P003
N2.HOG0014515	OG0007609	n13						SORBI_3007G126100			Zm00001eb042370_P001, Zm00001eb178890_P001
N2.HOG0014516	OG0007610	n0						SORBI_3003G428300			Zm00001eb140730_P001, Zm00001eb362820_P001
N2.HOG0014517	OG0007611	n0						SORBI_3004G017800			Zm00001eb208220_P002
N2.HOG0014518	OG0007612	n5						SORBI_3008G037900			Zm00001eb406770_P001
N2.HOG0014519	OG0007612	n6						SORBI_3005G038700			Zm00001eb197040_P003
N2.HOG0014520	OG0007613	n0						SORBI_3010G110100			Zm00001eb280500_P003
N2.HOG0014521	OG0007614	n0						SORBI_3003G384300			Zm00001eb145100_P001
N2.HOG0014522	OG0007615	n0						SORBI_3008G088500			Zm00001eb069510_P001
N2.HOG0014523	OG0007616	n0						SORBI_3006G273300			Zm00001eb065710_P001
N2.HOG0014524	OG0007617	n0						SORBI_3003G401400			Zm00001eb364750_P002
N2.HOG0014525	OG0007618	n0						SORBI_3004G331000			Zm00001eb192350_P002, Zm00001eb257880_P001
N2.HOG0014526	OG0007619	n0						SORBI_3007G018100			Zm00001eb173840_P003, Zm00001eb260850_P001
N2.HOG0014527	OG0007620	n2						SORBI_3007G188701			Zm00001eb037040_P001
N2.HOG0014528	OG0007620	n13						SORBI_3002G260800			Zm00001eb318060_P001
N2.HOG0014529	OG0007621	n10						SORBI_3004G241200			Zm00001eb254330_P001
N2.HOG0014530	OG0007621	n12						SORBI_3010G095600			Zm00001eb279830_P001, Zm00001eb372150_P002
N2.HOG0014531	OG0007622	n0						SORBI_3007G038300, SORBI_3001G485200			Zm00001eb005740_P003, Zm00001eb282010_P001
N2.HOG0014532	OG0007623	n0						SORBI_3001G523200, SORBI_3002G128101			Zm00001eb001940_P002, Zm00001eb403620_P001
N2.HOG0014533	OG0007624	n0						SORBI_3001G490900			Zm00001eb005340_P003, Zm00001eb402380_P002
N2.HOG0014534	OG0007625	n0						SORBI_3001G524200			Zm00001eb001880_P001, Zm00001eb403680_P001
N2.HOG0014535	OG0007626	n0						SORBI_3001G446000, SORBI_3003G261632			Zm00001eb009660_P003, Zm00001eb399310_P001
N2.HOG0014536	OG0007627	n0						SORBI_3009G236100			Zm00001eb296230_P001, Zm00001eb344070_P001
N2.HOG0014537	OG0007628	n11						SORBI_3009G237700			Zm00001eb296350_P001
N2.HOG0014538	OG0007628	n13						SORBI_3003G244000			Zm00001eb157870_P002
N2.HOG0014539	OG0007629	n0						SORBI_3002G350400			Zm00001eb107490_P001, Zm00001eb325230_P002
N2.HOG0014540	OG0007630	n0						SORBI_3007G173300			Zm00001eb039820_P001
N2.HOG0014541	OG0007631	n0						SORBI_3004G067200, SORBI_3004G067600			Zm00001eb206780_P001, Zm00001eb234280_P001
N2.HOG0014542	OG0007632	n0						SORBI_3007G024700			Zm00001eb173420_P001, Zm00001eb261300_P003
N2.HOG0014543	OG0007633	n2						SORBI_3004G302600			Zm00001eb186000_P002, Zm00001eb248650_P002
N2.HOG0014544	OG0007633	n7						SORBI_3004G031600			Zm00001eb231420_P002
N2.HOG0014545	OG0007634	n0						SORBI_3001G034700			Zm00001eb062600_P001, Zm00001eb211740_P001
N2.HOG0014546	OG0007635	n0						SORBI_3006G240700			Zm00001eb068520_P003, Zm00001eb432100_P003
N2.HOG0014547	OG0007636	n0						SORBI_3006G242000			Zm00001eb068400_P002, Zm00001eb432170_P001
N2.HOG0014548	OG0007637	n0						SORBI_3008G100600, SORBI_3009G049850			Zm00001eb138130_P001
N2.HOG0014549	OG0007638	n3						SORBI_3002G193300			Zm00001eb311870_P002
N2.HOG0014550	OG0007638	n14						SORBI_3007G131100			
N2.HOG0014551	OG0007639	n0						SORBI_3010G258500			Zm00001eb227500_P001, Zm00001eb339160_P001, Zm00001eb395460_P001
N2.HOG0014552	OG0007640	n0						SORBI_3002G315400, SORBI_3002G051750			Zm00001eb105840_P002, Zm00001eb322540_P001
N2.HOG0014553	OG0007641	n0						SORBI_3006G003800, SORBI_3009G071500, SORBI_3009G071600, SORBI_3006G003850, SORBI_3006G004100			
N2.HOG0014554	OG0007642	n0						SORBI_3010G111200, SORBI_3008G020800			Zm00001eb405550_P001, Zm00001eb438860_P001
N2.HOG0014555	OG0007643	n0						SORBI_3008G063100			Zm00001eb138600_P001, Zm00001eb409190_P001
N2.HOG0014556	OG0007644	n0						SORBI_3010G230600			Zm00001eb091040_P001, Zm00001eb224550_P002, Zm00001eb231480_P001, Zm00001eb273690_P002
N2.HOG0014557	OG0007645	n0						SORBI_3003G115900			Zm00001eb127680_P004, Zm00001eb333590_P001
N2.HOG0014558	OG0007646	n0						SORBI_3001G433800			Zm00001eb011010_P001, Zm00001eb398420_P001
N2.HOG0014559	OG0007647	n0						SORBI_3004G163800			Zm00001eb181370_P004
N2.HOG0014560	OG0007648	n0						SORBI_3003G050700			Zm00001eb122880_P005, Zm00001eb336740_P004
N2.HOG0014561	OG0007649	n0						SORBI_3008G150000			Zm00001eb030570_P001
N2.HOG0014562	OG0007650	n0						SORBI_3003G205600			Zm00001eb161110_P001
N2.HOG0014563	OG0007651	n0						SORBI_3006G190100			Zm00001eb073030_P001
N2.HOG0014564	OG0007652	n0						SORBI_3004G281800			Zm00001eb187260_P002
N2.HOG0014565	OG0007653	n0						SORBI_3006G220200			Zm00001eb070310_P001, Zm00001eb431200_P004
N2.HOG0014566	OG0007654	n3						SORBI_3003G278200			Zm00001eb361550_P002, Zm00001eb361580_P001
N2.HOG0014567	OG0007654	n5						SORBI_3004G193100			Zm00001eb245270_P001
N2.HOG0014568	OG0007655	n0						SORBI_3003G079300			Zm00001eb124830_P001
N2.HOG0014569	OG0007656	n0						SORBI_3008G049300			Zm00001eb139260_P001
N2.HOG0014570	OG0007657	n0						SORBI_3006G231700			Zm00001eb069280_P001, Zm00001eb431700_P001
N2.HOG0014571	OG0007658	n0						SORBI_3010G186400			Zm00001eb386480_P001
N2.HOG0014572	OG0007659	n0						SORBI_3001G398600			
N2.HOG0014573	OG0007660	n0						SORBI_3003G028000			Zm00001eb338000_P001
N2.HOG0014574	OG0007661	n0						SORBI_3001G091000			Zm00001eb057120_P001, Zm00001eb213850_P001
N2.HOG0014575	OG0007662	n0						SORBI_3009G077700			Zm00001eb350700_P001
N2.HOG0014576	OG0007663	n0						SORBI_3004G284800			Zm00001eb187070_P002, Zm00001eb250330_P001
N2.HOG0014577	OG0007664	n0						SORBI_3005G020300			Zm00001eb093590_P002, Zm00001eb195860_P004
N2.HOG0014578	OG0007665	n3						SORBI_3007G132900, SORBI_3007G143250			Zm00001eb041850_P001
